applicant_id,fico_score,annual_income,loan_amount,loan_term_months,employment_status,years_employed,savings_balance,approved
BCC-1219,,69100,12000,48,Self-employed,20,19200,Approved
BCC-1066,646,64900,19500,24,Salaried,12,21100,Approved
BCC-1009,610,50500,9200,36,Self-employed,12,7300,Approved
BCC-1170,624,20000,10800,12,Salaried,11,8700,Approved
BCC-1015,610,41000,10400,36,Salaried,17,3800,Approved
BCC-1201,769,36200,9100,60,Self-employed,9,2600,Approved
BCC-1025,645,24500,2900,60,Salaried,4,9000,Approved
BCC-1197,642,92500,50000,12,Salaried,2,18600,Rejected
BCC-1154,666,72400,46400,48,Salaried,3,23000,Rejected
BCC-1126,772,42600,19000,36,Self-employed,12,13200,Approved
BCC-1216,708,44100,13900,12,Salaried,6,12400,Approved
BCC-1019,667,44200,19800,48,Salaried,10,2100,Rejected
BCC-1096,577,59700,13600,36,Salaried,7,7300,Approved
BCC-1178,662,71800,35300,12,Salaried,12,26800,Approved
BCC-1175,682,61600,7800,12,Self-employed,14,2600,Approved
BCC-1137,729,65000,31600,36,Salaried,7,10100,Approved
BCC-1146,627,38700,20500,36,Salaried,4,11000,Rejected
BCC-1030,820,48400,19900,60,Salaried,12,7100,Approved
BCC-1136,692,64100,16200,36,Salaried,1,5400,Approved
BCC-1185,778,51100,22600,36,Salaried,6,12500,Approved
BCC-1108,,27500,3600,48,Salaried,9,1300,Approved
BCC-1162,819,20000,7400,60,Salaried,7,7500,Approved
BCC-1206,611,78900,39000,36,Salaried,3,33200,Rejected
BCC-1181,685,63100,32000,48,Salaried,17,26800,Approved
BCC-1125,,20000,12100,12,Self-employed,12,4200,Rejected
BCC-1018,731,30400,13300,60,Salaried,7,1400,Rejected
BCC-1147,660,36600,21100,24,Self-employed,7,7100,Rejected
BCC-1101,761,"$53,000","$7,800",36,Salaried,25,"$23,000",Approved
BCC-1104,605,105300,47500,12,Salaried,9,8900,Rejected
BCC-1084,586,56400,36400,60,Salaried,7,14300,Rejected
BCC-1199,659,93200,39600,48,Salaried,0,25700,Rejected
BCC-1060,552,70500,39100,60,Self-employed,14,17600,Rejected
BCC-1118,782,88000,37200,36,Salaried,4,31500,Approved
BCC-1045,685,"$84,300","$32,600",24,Self-employed,10,"$3,900",Rejected
BCC-1016,696,20000,5400,60,Salaried,19,8000,Approved
BCC-1127,587,73400,14500,60,Salaried,11,5400,Approved
BCC-1159,587,46100,7800,12,Self-employed,16,17400,Approved
BCC-1119,653,73800,41900,24,Salaried,15,27800,Approved
BCC-1082,645,80500,32700,48,Salaried,9,1400,Rejected
BCC-1144,613,54700,27200,24,Self-employed,11,16000,Rejected
BCC-1093,664,69400,13800,12,Self-employed,8,27400,Approved
BCC-1195,607,63100,35900,48,Salaried,0,2200,Rejected
BCC-1143,689,30500,18200,24,Salaried,2,1100,Rejected
BCC-1073,705,20000,6300,12,Self-employed,11,8300,Approved
BCC-1113,569,31600,11500,48,Salaried,6,8600,Approved
BCC-1112,628,39800,22500,60,Salaried,12,17600,Rejected
BCC-1150,659,58300,19900,60,Salaried,19,14000,Approved
BCC-1055,625,68000,19300,48,Salaried,9,10100,Approved
BCC-1096,577,59700,13600,36,Salaried,7,7300,Approved
BCC-1069,,55300,29000,60,Salaried,3,14000,Rejected
BCC-1168,659,65200,9600,24,Salaried,8,13100,Approved
BCC-1109,549,44500,13400,24,Salaried,6,16200,Rejected
BCC-1124,728,100000,31900,24,Self-employed,15,23400,Approved
BCC-1079,648,66500,12700,48,Salaried,17,27600,Approved
BCC-1086,637,49300,17100,12,Self-employed,5,16500,Approved
